,name,trimmed_name
276,williams controls inc,williams controls
277,kirkland lake gold ltd.,kirkland lake gold
278,advantage solutions inc.,advantage solutions
279,"vpr brands, lp",vpr brands
280,rice acquisition corp. ii,rice acquisition corp. ii
281,broadmark realty capital inc.,broadmark realty capital
282,notox technologies corp.,notox technologies
283,the lion electric company,the lion electric company
284,toucan interactive corp.,toucan interactive
285,kmrb acquisition corp. ii,kmrb acquisition corp. ii
286,gladstone commercial corp,gladstone commercial
287,"newegg commerce, inc.",newegg commerce
288,"exacttarget, inc.",exacttarget
289,"rxsight, inc.",rxsight
290,"agora holdings, inc.",agora holdings
291,lazard growth acquisition corp. i,lazard growth acquisition corp. i
292,abbvie inc.,abbvie
293,"crown city pictures, inc.",crown city pictures
294,build-a-bear workshop inc,build-a-bear workshop
295,dynavox inc.,dynavox
296,"trilinc global impact fund, llc",trilinc global impact fund
297,sap se,sap se
298,nvcn corp,nvcn
299,"container store group, inc.",container store group
300,"diversified restaurant holdings, inc.",diversified restaurant holdings
301,"myecheck, inc.",myecheck
302,gulfport energy corp,gulfport energy
303,fortress value acquisition corp. iii,fortress value acquisition corp. iii
304,holley inc.,holley
305,"rpc, inc.",rpc
306,rmr group inc.,rmr group
308,vistas media acquisition company inc.,vistas media acquisition company
309,"atossa therapeutics, inc.",atossa therapeutics
310,"global mobiletech, inc.",global mobiletech
311,grayscale® zcash trust (zec),grayscale® zcash trust (zec)
312,american petroleum tankers parent llc,american petroleum tankers parent
313,zygo corp,zygo
314,"catchmark timber trust, inc.",catchmark timber trust
315,oakridge holdings inc,oakridge holdings
316,"first business financial services, inc.",first business financial services
317,"fitbit, inc.",fitbit
319,sand international inc,sand international
320,"asbury automotive group, inc.",asbury automotive group
321,"mcgraw-hill global education intermediate holdings, llc",mcgraw-hill global education intermediate holdings
322,advansix inc.,advansix
323,"isoray, inc.",isoray
324,century properties fund xv,century properties fund xv
325,littelfuse inc /de,littelfuse inc /de
326,stellus capital investment corp,stellus capital investment
327,verint systems inc,verint systems
328,biofuels power corp,biofuels power
329,ajax i,ajax i
330,808 renewable energy corporation,808 renewable energy
331,"first federal of northern michigan bancorp, inc.",first federal of northern michigan bancorp
332,kirin corp.,kirin
333,gentherm incorporated,gentherm incorporated
334,"annexon, inc.",annexon
337,surewest communications,surewest communications
338,"eloqua, inc.",eloqua
339,"avenue financial holdings, inc.",avenue financial holdings
341,sunopta inc.,sunopta
342,"applied energetics, inc.",applied energetics
343,cheviot financial corp.,cheviot financial
344,sunlands technology group,sunlands technology group
345,"corteva, inc.",corteva
346,"home loan servicing solutions, ltd.",home loan servicing solutions
347,libbey inc,libbey
348,phazar corp,phazar
350,"fleetcor technologies, inc",fleetcor technologies
351,longduoduo company limited,longduoduo company limited
352,arizona public service co,arizona public service
353,cpg opco gp llc,cpg opco gp
354,avaya inc,avaya
355,"gushen, inc.",gushen
356,"xenetic biosciences, inc.",xenetic biosciences
357,ambient water corp,ambient water
358,"virolab, inc.",virolab
360,onelife technologies corp,onelife technologies
361,"fogo de chao, inc.",fogo de chao
362,"boingo wireless, inc.",boingo wireless
363,"stl marketing group, inc.",stl marketing group
364,stifel financial corp,stifel financial
366,dewey electronics corp,dewey electronics
367,tuscan holdings corp. ii,tuscan holdings corp. ii
368,bitech technologies corporation,bitech technologies
369,boston private financial holdings inc,boston private financial holdings
370,balchem corporation,balchem
371,bctc iv assignor corp,bctc iv assignor
372,winmark corporation,winmark
373,"china polypeptide group, inc.",china polypeptide group
374,"iiot-oxys, inc.",iiot-oxys
375,apex 11 inc.,apex 11
376,"trupanion, inc.",trupanion
377,tubemogul inc,tubemogul
378,vansen pharma inc.,vansen pharma
379,akerna corp.,akerna
380,dmc beverage corp.,dmc beverage
381,"china wi-max communications, inc.",china wi-max communications
382,"schnitzer steel industries, inc.",schnitzer steel industries
383,wellesley capital management corp.,wellesley capital management
384,"united airlines, inc.",united airlines
385,"energy 11, l.p.",energy 11
386,"kontoor brands, inc.",kontoor brands
387,"hayward holdings, inc.",hayward holdings
388,eq health acquisition corp.,eq health acquisition
389,"nx global, inc",nx global
390,"bbva usa bancshares, inc.",bbva usa bancshares
